,leagueId,number_of_teams,startId,endId,seasonId,status_code
875,48496046,8,48357343,48857343,2020,200
876,48496090,8,48447291,48547291,2020,200
877,48497067,10,48447291,48547291,2020,200
878,48497069,8,48447291,48547291,2020,200
879,48497218,10,48447291,48547291,2020,200
880,48497750,12,48447291,48547291,2020,200
881,48497932,12,48447291,48547291,2020,200
882,48497945,8,48447291,48547291,2020,200
883,48498194,8,48447291,48547291,2020,200
884,48498398,10,48447291,48547291,2020,200
885,48498603,16,48447291,48547291,2020,200
886,48498654,8,48447291,48547291,2020,200
887,48500041,10,48447291,48547291,2020,200
888,48500217,8,48447291,48547291,2020,200
889,48500359,10,48447291,48547291,2020,200
890,48500362,10,48447291,48547291,2020,200
891,48500557,10,48447291,48547291,2020,200
892,48500788,10,48447291,48547291,2020,200
893,48500930,8,48447291,48547291,2020,200
894,48501041,10,48447291,48547291,2020,200
895,48501569,8,48447291,48547291,2020,200
896,48501651,10,48447291,48547291,2020,200
897,48501968,10,48447291,48547291,2020,200
898,48502055,12,48447291,48547291,2020,200
899,48502262,10,48447291,48547291,2020,200
900,48502613,10,48447291,48547291,2020,200
901,48502695,10,48357343,48857343,2019,200
902,48502695,10,48357343,48857343,2020,200
903,48502792,10,48447291,48547291,2020,200
904,48502932,8,48447291,48547291,2020,200
905,48503057,8,48447291,48547291,2020,200
906,48503152,8,48447291,48547291,2020,200
907,48503398,10,48447291,48547291,2020,200
908,48503437,8,48447291,48547291,2020,200
909,48503816,8,48447291,48547291,2020,200
910,48503963,4,48447291,48547291,2020,200
911,48504060,10,48447291,48547291,2020,200
912,48504468,8,48447291,48547291,2020,200
913,48504520,11,48447291,48547291,2020,200
914,48504555,8,48447291,48547291,2020,200
915,48504625,10,48447291,48547291,2020,200
916,48504632,11,48357343,48857343,2019,200
917,48504632,11,48357343,48857343,2020,200
918,48505020,16,48447291,48547291,2020,200
919,48505022,10,48447291,48547291,2020,200
920,48505131,10,48447291,48547291,2020,200
921,48505284,13,48357343,48857343,2019,200
922,48505284,13,48357343,48857343,2020,200
923,48505307,8,48447291,48547291,2020,200
924,48505549,10,48447291,48547291,2020,200
925,48505899,12,48357343,48857343,2019,200
926,48505899,12,48357343,48857343,2020,200
927,48506122,8,48447291,48547291,2020,200
928,48506946,10,48447291,48547291,2020,200
929,48507285,6,48447291,48547291,2020,200
930,48507749,10,48447291,48547291,2020,200
931,48507797,12,48447291,48547291,2020,200
932,48507995,8,48357343,48857343,2019,200
933,48507995,8,48357343,48857343,2020,200
934,48508463,10,48447291,48547291,2020,200
935,48508520,10,48447291,48547291,2020,200
936,48508937,8,48447291,48547291,2020,200
937,48509779,12,48447291,48547291,2020,200
938,48509828,12,48357343,48857343,2019,200
939,48509828,12,48357343,48857343,2020,200
940,48510048,6,48447291,48547291,2020,200
941,48510081,10,48447291,48547291,2020,200
942,48510147,17,48447291,48547291,2020,200
943,48510519,11,48447291,48547291,2020,200
944,48510628,8,48447291,48547291,2020,200
945,48510650,12,48447291,48547291,2020,200
946,48511588,10,48447291,48547291,2020,200
947,48511703,10,48447291,48547291,2020,200
948,48511926,10,48447291,48547291,2020,200
949,48512714,10,48447291,48547291,2020,200
950,48512835,8,48447291,48547291,2020,200
951,48513027,8,48447291,48547291,2020,200
952,48513437,10,48447291,48547291,2020,200
953,48514228,19,48447291,48547291,2020,200
954,48514229,12,48447291,48547291,2020,200
955,48514420,8,48447291,48547291,2020,200
956,48515214,20,48447291,48547291,2020,200
957,48515362,10,48447291,48547291,2020,200
958,48515757,8,48447291,48547291,2020,200
959,48515884,10,48447291,48547291,2020,200
960,48515952,10,48447291,48547291,2020,200
961,48516027,16,48447291,48547291,2020,200
962,48516250,12,48447291,48547291,2020,200
963,48516854,10,48447291,48547291,2020,200
964,48517167,10,48447291,48547291,2020,200
965,48517890,8,48447291,48547291,2020,200
966,48518706,10,48447291,48547291,2020,200
967,48518760,8,48447291,48547291,2020,200
968,48518812,10,48447291,48547291,2020,200
969,48519412,8,48447291,48547291,2020,200
970,48519918,8,48447291,48547291,2020,200
971,48520146,10,48357343,48857343,2019,200
972,48520146,10,48357343,48857343,2020,200
973,48520354,10,48447291,48547291,2020,200
974,48520488,8,48447291,48547291,2020,200
975,48520631,12,48447291,48547291,2020,200
976,48520644,10,48447291,48547291,2020,200
977,48520789,9,48447291,48547291,2020,200
978,48521753,10,48447291,48547291,2020,200
979,48521828,11,48447291,48547291,2020,200
980,48521866,10,48447291,48547291,2020,200
981,48521999,10,48447291,48547291,2020,200
982,48522292,8,48447291,48547291,2020,200
983,48522577,8,48447291,48547291,2020,200
984,48523174,10,48447291,48547291,2020,200
985,48523499,8,48447291,48547291,2020,200
986,48523565,8,48447291,48547291,2020,200
987,48523961,10,48447291,48547291,2020,200
988,48524277,10,48447291,48547291,2020,200
989,48524320,8,48357343,48857343,2019,200
990,48524320,8,48357343,48857343,2020,200
991,48524494,8,48447291,48547291,2020,200
992,48524548,8,48447291,48547291,2020,200
993,48524551,10,48447291,48547291,2020,200
994,48524708,4,48357343,48857343,2019,200
995,48524708,4,48357343,48857343,2020,200
996,48524761,10,48447291,48547291,2020,200
997,48524903,14,48447291,48547291,2020,200
998,48525694,10,48447291,48547291,2020,200
999,48525882,12,48357343,48857343,2019,200
1000,48525882,12,48357343,48857343,2020,200
1001,48525973,8,48447291,48547291,2020,200
1002,48526087,8,48447291,48547291,2020,200
1003,48526329,10,48447291,48547291,2020,200
1004,48526620,10,48447291,48547291,2020,200
1005,48527089,14,48447291,48547291,2020,200
1006,48527348,10,48447291,48547291,2020,200
1007,48527555,8,48447291,48547291,2020,200
1008,48528016,10,48447291,48547291,2020,200
1009,48528064,12,48357343,48857343,2019,200
1010,48528064,12,48357343,48857343,2020,200
1011,48528429,8,48447291,48547291,2020,200
1012,48528586,10,48447291,48547291,2020,200
1013,48529043,10,48447291,48547291,2020,200
1014,48529077,10,48447291,48547291,2020,200
1015,48529350,10,48447291,48547291,2020,200
1016,48530115,12,48447291,48547291,2020,200
1017,48530257,10,48447291,48547291,2020,200
1018,48530272,6,48447291,48547291,2020,200
1019,48530380,10,48447291,48547291,2020,200
1020,48530432,10,48447291,48547291,2020,200
1021,48531889,8,48447291,48547291,2020,200
1022,48532273,12,48447291,48547291,2020,200
1023,48532312,10,48447291,48547291,2020,200
1024,48532409,10,48447291,48547291,2020,200
1025,48532854,10,48447291,48547291,2020,200
1026,48533120,10,48447291,48547291,2020,200
1027,48533263,4,48447291,48547291,2020,200
1028,48533714,10,48447291,48547291,2020,200
1029,48534162,8,48447291,48547291,2020,200
1030,48534364,10,48447291,48547291,2020,200
1031,48534716,4,48357343,48857343,2019,200
1032,48534716,4,48357343,48857343,2020,200
1033,48534882,10,48447291,48547291,2020,200
1034,48535321,8,48447291,48547291,2020,200
1035,48535593,8,48447291,48547291,2020,200
1036,48535610,9,48447291,48547291,2020,200
1037,48535682,8,48447291,48547291,2020,200
1038,48535852,10,48447291,48547291,2020,200
1039,48535911,10,48447291,48547291,2020,200
1040,48536039,10,48447291,48547291,2020,200
1041,48536408,8,48447291,48547291,2020,200
1042,48536830,10,48447291,48547291,2020,200
1043,48536920,10,48447291,48547291,2020,200
1044,48537265,10,48447291,48547291,2020,200
1045,48537554,8,48447291,48547291,2020,200
1046,48537752,12,48447291,48547291,2020,200
1047,48537765,10,48447291,48547291,2020,200
1048,48537799,9,48357343,48857343,2019,200
1049,48537799,9,48357343,48857343,2020,200
1050,48538189,8,48447291,48547291,2020,200
1051,48538239,10,48447291,48547291,2020,200
1052,48538484,10,48447291,48547291,2020,200
1053,48538573,10,48447291,48547291,2020,200
1054,48538855,3,48447291,48547291,2020,200
1055,48539194,12,48447291,48547291,2020,200
1056,48539205,10,48447291,48547291,2020,200
1057,48539985,10,48447291,48547291,2020,200
1058,48540433,7,48447291,48547291,2020,200
1059,48540509,8,48447291,48547291,2020,200
1060,48541088,12,48447291,48547291,2020,200
1061,48541743,8,48447291,48547291,2020,200
1062,48542686,10,48447291,48547291,2020,200
1063,48542834,4,48447291,48547291,2020,200
1064,48542946,10,48447291,48547291,2020,200
1065,48543889,6,48447291,48547291,2020,200
1066,48544004,13,48357343,48857343,2019,200
1067,48544004,13,48357343,48857343,2020,200
1068,48544019,10,48447291,48547291,2020,200
1069,48544401,12,48447291,48547291,2020,200
1070,48544448,10,48447291,48547291,2020,200
1071,48545010,4,48447291,48547291,2020,200
1072,48545207,8,48447291,48547291,2020,200
1073,48545226,9,48447291,48547291,2020,200
1074,48545799,10,48447291,48547291,2020,200
1075,48546243,8,48447291,48547291,2020,200
1076,48546870,8,48447291,48547291,2020,200
1077,48546985,12,48447291,48547291,2020,200
1078,48547224,10,48447291,48547291,2020,200
1079,48555177,10,48357343,48857343,2019,200
1080,48555177,10,48357343,48857343,2020,200
1081,48555185,10,48357343,48857343,2019,200
1082,48555185,10,48357343,48857343,2020,200
1083,48556828,10,48357343,48857343,2019,200
1084,48556828,10,48357343,48857343,2020,200
1085,48559897,10,48357343,48857343,2019,200
1086,48559897,10,48357343,48857343,2020,200
1087,48564728,12,48357343,48857343,2019,200
1088,48564728,12,48357343,48857343,2020,200
1089,48564824,10,48357343,48857343,2019,200
1090,48564824,10,48357343,48857343,2020,200
1091,48565153,10,48357343,48857343,2019,200
1092,48565153,10,48357343,48857343,2020,200
1093,48565211,14,48357343,48857343,2019,200
1094,48565211,14,48357343,48857343,2020,200
1095,48565761,10,48357343,48857343,2019,200
1096,48565761,10,48357343,48857343,2020,200
1097,48565869,12,48357343,48857343,2019,200
1098,48565869,12,48357343,48857343,2020,200
1099,48566669,13,48357343,48857343,2019,200
1100,48566669,13,48357343,48857343,2020,200
1101,48572268,12,48357343,48857343,2019,200
1102,48572268,12,48357343,48857343,2020,200
1103,48575753,10,48357343,48857343,2019,200
1104,48575753,10,48357343,48857343,2020,200
1105,48578878,12,48357343,48857343,2019,200
1106,48578878,12,48357343,48857343,2020,200
1107,48579163,10,48357343,48857343,2019,200
1108,48579163,10,48357343,48857343,2020,200
1109,48582979,12,48357343,48857343,2019,200
1110,48582979,12,48357343,48857343,2020,200
1111,48587128,10,48357343,48857343,2019,200
1112,48587128,10,48357343,48857343,2020,200
1113,48587330,10,48357343,48857343,2019,200
1114,48587330,10,48357343,48857343,2020,200
1115,48590026,6,48357343,48857343,2019,200
1116,48590026,6,48357343,48857343,2020,200
1117,48602236,10,48357343,48857343,2019,200
1118,48602236,10,48357343,48857343,2020,200
1119,48602591,10,48357343,48857343,2019,200
1120,48602591,10,48357343,48857343,2020,200
1121,48603609,12,48357343,48857343,2019,200
1122,48603609,12,48357343,48857343,2020,200
1123,48609096,6,48357343,48857343,2019,200
1124,48609096,6,48357343,48857343,2020,200
1125,48611929,10,48357343,48857343,2019,200
1126,48611929,10,48357343,48857343,2020,200
1127,48614554,6,48357343,48857343,2019,200
1128,48614554,6,48357343,48857343,2020,200
1129,48619008,10,48357343,48857343,2019,200
1130,48619008,10,48357343,48857343,2020,200
1131,48619588,12,48357343,48857343,2019,200
